xloc,yloc,q,t0
2.047820e+01,-9.120770e+00,8.021508e+00,1.184293e+01
2.050392e+01,-9.680158e+00,8.081511e+00,1.208261e+01
2.044530e+01,-9.588426e+00,7.989400e+00,1.176033e+01
2.011758e+01,-9.274877e+00,8.025351e+00,1.186674e+01
2.051706e+01,-9.505780e+00,8.047903e+00,1.190017e+01
2.029075e+01,-9.030976e+00,8.055029e+00,1.204959e+01
2.076994e+01,-9.075584e+00,8.031471e+00,1.202930e+01
2.062822e+01,-9.116235e+00,8.057905e+00,1.200358e+01
2.043818e+01,-9.379366e+00,7.992595e+00,1.183579e+01
2.033293e+01,-9.365296e+00,8.116604e+00,1.209588e+01
2.053828e+01,-9.630116e+00,8.004890e+00,1.190031e+01
2.076906e+01,-9.407149e+00,8.078784e+00,1.205252e+01
2.045660e+01,-9.400726e+00,8.063224e+00,1.207614e+01
2.042237e+01,-9.412181e+00,8.122292e+00,1.226265e+01
2.029298e+01,-9.587453e+00,8.027388e+00,1.194591e+01
2.045734e+01,-9.290356e+00,8.037884e+00,1.205073e+01
2.040661e+01,-9.218512e+00,8.106690e+00,1.207804e+01
2.042597e+01,-9.113538e+00,7.987258e+00,1.180461e+01
2.042822e+01,-9.620562e+00,7.982575e+00,1.182480e+01
2.039365e+01,-9.288756e+00,7.996575e+00,1.186685e+01
2.058960e+01,-9.529266e+00,7.972711e+00,1.175291e+01
2.023561e+01,-9.325539e+00,8.035352e+00,1.187030e+01
2.022383e+01,-9.262026e+00,8.050613e+00,1.204902e+01
2.045154e+01,-9.817707e+00,7.972462e+00,1.188670e+01
2.036199e+01,-9.280529e+00,8.012144e+00,1.185999e+01
2.030325e+01,-9.762780e+00,8.038513e+00,1.193161e+01
2.045375e+01,-9.374678e+00,7.997190e+00,1.189469e+01
2.054422e+01,-9.225966e+00,8.044889e+00,1.190282e+01
2.030830e+01,-9.224889e+00,8.053936e+00,1.210259e+01
2.005733e+01,-9.033103e+00,8.019969e+00,1.192720e+01
2.047712e+01,-9.448572e+00,7.927000e+00,1.141738e+01
2.041761e+01,-9.232905e+00,8.006632e+00,1.208310e+01
