xloc,yloc,q,t0
2.047638e+01,-9.130999e+00,8.017264e+00,1.183222e+01
2.051406e+01,-9.692117e+00,8.055816e+00,1.202284e+01
2.042738e+01,-9.590426e+00,8.015095e+00,1.183193e+01
2.009791e+01,-9.249110e+00,8.070770e+00,1.200751e+01
2.049957e+01,-9.491945e+00,8.084432e+00,1.200487e+01
2.030030e+01,-9.041954e+00,8.036996e+00,1.200744e+01
2.077928e+01,-9.065058e+00,8.025511e+00,1.202338e+01
2.062020e+01,-9.125105e+00,8.059752e+00,1.202473e+01
2.042344e+01,-9.395628e+00,7.998197e+00,1.185716e+01
2.033933e+01,-9.392013e+00,8.095151e+00,1.201720e+01
2.054603e+01,-9.621295e+00,8.001415e+00,1.189390e+01
2.077941e+01,-9.410598e+00,8.063493e+00,1.201013e+01
2.046104e+01,-9.430854e+00,8.044310e+00,1.198872e+01
2.045632e+01,-9.455077e+00,8.048055e+00,1.206173e+01
2.028646e+01,-9.612003e+00,8.015359e+00,1.192425e+01
2.044580e+01,-9.308827e+00,8.048944e+00,1.205429e+01
2.040579e+01,-9.193842e+00,8.132215e+00,1.213120e+01
2.040099e+01,-9.142098e+00,8.003469e+00,1.184878e+01
2.041557e+01,-9.615787e+00,8.003325e+00,1.186710e+01
2.038711e+01,-9.322381e+00,7.977789e+00,1.183299e+01
2.056525e+01,-9.524065e+00,8.016515e+00,1.182663e+01
2.020864e+01,-9.304857e+00,8.092795e+00,1.202760e+01
2.022953e+01,-9.260201e+00,8.045887e+00,1.203621e+01
2.044770e+01,-9.815473e+00,7.980143e+00,1.190786e+01
2.036604e+01,-9.293351e+00,7.998320e+00,1.180026e+01
2.029078e+01,-9.782637e+00,8.041927e+00,1.194302e+01
2.045244e+01,-9.390377e+00,7.987985e+00,1.190538e+01
2.053428e+01,-9.251131e+00,8.046727e+00,1.186641e+01
2.032716e+01,-9.242409e+00,8.023837e+00,1.198849e+01
2.005620e+01,-9.049303e+00,8.006109e+00,1.190675e+01
2.053437e+01,-9.469394e+00,7.836843e+00,1.113598e+01
2.042002e+01,-9.264429e+00,7.981041e+00,1.199848e+01
