xloc,yloc,q,t0
3.435851e+01,-8.151042e+00,1.434543e+01,2.304618e+01
1.793348e+01,-9.365510e+00,1.030249e+01,1.125492e+01
1.993469e+01,-9.831090e+00,6.347291e+00,1.402295e+01
1.925953e+01,-9.736056e+00,7.298900e+00,1.163112e+01
1.913140e+01,-9.800126e+00,6.879945e+00,1.294603e+01
1.195170e+01,-1.699542e+01,1.491013e+01,8.996602e+00
2.006071e+01,-9.568249e+00,8.155472e+00,1.304171e+01
2.128683e+01,-5.902774e+00,1.124417e+00,1.326910e+01
2.016490e+01,-8.731605e+00,6.596953e+00,1.431524e+01
2.137612e+01,-1.009878e+01,1.050513e+01,1.253137e+01
2.087379e+01,-9.724912e+00,7.684041e+00,1.338492e+01
2.094856e+01,-1.236138e+01,1.041563e+01,1.530679e+01
2.078700e+01,-9.807220e+00,1.042792e+01,1.176909e+01
2.206604e+01,-1.007123e+01,6.456923e+00,1.529645e+01
1.912548e+01,-1.028426e+01,9.654179e+00,1.231728e+01
2.091853e+01,-9.522520e+00,6.780229e+00,1.411039e+01
1.844800e+01,-1.000027e+01,8.627962e+00,1.264302e+01
1.580583e+01,-9.357905e+00,1.231162e+01,4.566807e+00
2.143298e+01,-9.506043e+00,5.446318e+00,1.650536e+01
1.997120e+01,-9.526556e+00,8.542180e+00,1.449201e+01
2.131003e+01,-1.065546e+01,6.699119e+00,1.409244e+01
1.622119e+01,-9.429866e+00,9.519315e+00,1.210469e+01
1.924771e+01,-1.014197e+01,6.992324e+00,1.416991e+01
2.254686e+01,-1.101222e+01,5.655775e+00,1.360615e+01
1.520233e+01,-1.958057e+01,4.850135e+00,1.510361e+01
2.078386e+01,-1.085464e+01,7.318183e+00,1.448269e+01
1.856236e+01,-9.588547e+00,8.801086e+00,1.381236e+01
1.884739e+01,-9.556962e+00,6.392318e+00,1.633773e+01
1.816172e+01,-1.032273e+01,8.394303e+00,1.162214e+01
1.934563e+01,-4.309518e+00,5.754585e+00,1.656085e+01
1.958985e+01,-9.746229e+00,6.220312e+00,1.503686e+01
2.112652e+01,-1.018608e+01,7.290378e+00,1.171237e+01
