xloc,yloc,q,t0
1.916341e+01,-1.528567e+01,1.912464e+01,2.990823e+01
4.220092e+01,-2.439225e+01,2.085156e+01,1.180124e+01
3.059369e+01,-2.467955e+01,1.332705e+01,2.801070e+00
2.423426e+01,-6.413784e+00,1.365820e+01,1.442830e+01
2.832433e+01,-2.920385e+01,1.098358e+01,2.489189e+01
-1.592659e+00,-2.548215e+01,1.983270e+01,1.702635e+01
3.965620e+01,-1.648737e+01,1.240888e+01,1.542648e+01
8.461039e+00,-5.902774e+00,1.124417e+00,2.158283e+01
4.097193e+01,-1.119134e+01,6.641577e+00,1.618317e+01
3.030419e+01,-2.092433e+01,2.025836e+01,1.312497e+01
2.737580e+01,-1.885723e+01,1.505701e+01,1.028390e+01
7.277716e+00,-2.038952e+01,1.806276e+01,2.078711e+01
1.508013e+01,-9.027491e+00,9.980137e+00,4.623107e+00
3.372186e+01,-3.154109e+01,1.223325e+01,1.944277e+01
2.606081e+01,-1.732103e+01,2.606544e+00,3.408287e+00
5.440465e+01,-3.011999e+01,2.588836e+01,2.568065e+01
4.971943e+01,-3.861217e+00,1.454470e+01,2.293410e+01
2.283670e+00,-1.854181e+01,2.242203e+01,1.204525e+00
1.686757e+01,-1.169616e+01,2.735192e+01,1.138411e+01
1.968175e+01,-1.727656e+01,1.679461e+01,1.424848e+01
4.647852e+01,-2.355951e+01,7.024815e+00,6.795671e+00
3.585446e+01,-1.429902e+01,2.453967e+01,1.814612e+01
2.274336e+01,-2.727625e+01,3.879411e+00,9.670818e+00
1.552104e+01,-2.214327e+01,7.967042e+00,2.688264e+01
-1.147721e+00,-2.750912e+01,4.850135e+00,2.049229e+01
3.310088e+01,-1.341270e+01,1.616687e+01,8.215317e+00
1.350723e+01,-1.009038e+01,2.894450e+01,1.722637e+01
1.156343e+01,-1.941044e+01,2.208370e+01,1.262013e+01
2.194291e+01,-1.493158e+01,2.360340e+01,8.552411e+00
5.052656e+00,-1.271765e+01,1.071009e+01,2.366663e+01
4.565872e+01,-8.004082e+00,1.731627e+01,1.902121e+01
3.748062e+01,-2.257067e+01,9.007080e+00,6.101402e+00
