xloc,yloc,q,t0
2.047256e+01,-9.156937e+00,8.058460e+00,1.185199e+01
2.052203e+01,-9.759475e+00,8.049897e+00,1.192210e+01
2.042838e+01,-9.643899e+00,8.010134e+00,1.178145e+01
2.010471e+01,-9.238395e+00,8.084333e+00,1.199189e+01
2.050945e+01,-9.628496e+00,8.128411e+00,1.186639e+01
2.030254e+01,-9.091555e+00,8.060969e+00,1.197298e+01
2.077830e+01,-9.075917e+00,8.041047e+00,1.204690e+01
2.062731e+01,-9.126467e+00,8.061992e+00,1.197563e+01
2.042996e+01,-9.456703e+00,8.022075e+00,1.178569e+01
2.034309e+01,-9.408216e+00,8.163929e+00,1.202008e+01
2.054238e+01,-9.596207e+00,7.964972e+00,1.191255e+01
2.078438e+01,-9.496825e+00,8.060012e+00,1.190749e+01
2.046088e+01,-9.494443e+00,8.047907e+00,1.193210e+01
2.045496e+01,-9.381797e+00,8.088016e+00,1.215562e+01
2.028630e+01,-9.607934e+00,8.000051e+00,1.192375e+01
2.044927e+01,-9.292610e+00,8.023117e+00,1.204030e+01
2.041410e+01,-9.192559e+00,8.145893e+00,1.210317e+01
2.039862e+01,-9.162738e+00,8.005576e+00,1.185330e+01
2.042068e+01,-9.686599e+00,8.026954e+00,1.179431e+01
2.038877e+01,-9.393786e+00,7.967745e+00,1.175188e+01
2.057427e+01,-9.501845e+00,8.015682e+00,1.179600e+01
2.020751e+01,-9.321116e+00,8.079609e+00,1.200636e+01
2.023100e+01,-9.243943e+00,8.035797e+00,1.203380e+01
2.044937e+01,-9.828299e+00,7.967002e+00,1.188358e+01
2.036733e+01,-9.328608e+00,7.994008e+00,1.176548e+01
2.028820e+01,-9.817405e+00,8.086685e+00,1.195588e+01
2.045180e+01,-9.382388e+00,7.970182e+00,1.190729e+01
2.054024e+01,-9.320810e+00,8.031307e+00,1.176059e+01
2.033093e+01,-9.271823e+00,8.039372e+00,1.195744e+01
2.005754e+01,-9.118090e+00,7.977889e+00,1.182392e+01
2.053825e+01,-9.381321e+00,7.863182e+00,1.120554e+01
2.042727e+01,-9.252660e+00,7.977206e+00,1.197169e+01
