xloc,yloc,q,t0
2.057974e+01,-1.006380e+01,7.064719e+00,1.231659e+01
2.061841e+01,-9.633104e+00,7.621690e+00,1.201062e+01
2.106306e+01,-9.716304e+00,6.918193e+00,1.156951e+01
2.029537e+01,-9.285541e+00,7.827804e+00,1.205456e+01
1.965072e+01,-9.937477e+00,7.390494e+00,1.241468e+01
2.034752e+01,-9.285833e+00,8.363369e+00,1.171459e+01
2.084330e+01,-1.007331e+01,6.769560e+00,1.218014e+01
2.089653e+01,-7.974010e+00,7.025435e+00,1.178534e+01
2.078057e+01,-1.045022e+01,5.706324e+00,1.189982e+01
1.995932e+01,-9.766700e+00,8.198054e+00,1.169128e+01
2.088224e+01,-9.843023e+00,7.704199e+00,1.192521e+01
2.093974e+01,-8.746085e+00,7.512476e+00,1.211803e+01
2.060734e+01,-9.365451e+00,7.225079e+00,1.248158e+01
2.062892e+01,-9.064088e+00,6.046925e+00,1.205362e+01
2.031357e+01,-9.409692e+00,7.178395e+00,1.218291e+01
2.033026e+01,-9.380489e+00,8.593699e+00,1.210772e+01
2.052614e+01,-1.005728e+01,8.016767e+00,1.208962e+01
2.054103e+01,-9.062962e+00,7.383400e+00,1.185959e+01
2.032746e+01,-9.654407e+00,7.424104e+00,1.334701e+01
1.998905e+01,-9.037175e+00,8.124194e+00,1.096587e+01
2.061574e+01,-9.388550e+00,6.961540e+00,1.236510e+01
2.020482e+01,-9.507768e+00,7.614417e+00,1.175147e+01
2.026225e+01,-9.235161e+00,6.952586e+00,1.203161e+01
2.051217e+01,-1.062996e+01,7.074389e+00,1.189541e+01
2.002165e+01,-1.058096e+01,6.580989e+00,1.170867e+01
2.036373e+01,-9.614438e+00,7.289337e+00,1.218925e+01
2.032933e+01,-9.246082e+00,7.428361e+00,1.178347e+01
2.060525e+01,-1.003186e+01,7.657825e+00,1.258227e+01
2.056132e+01,-1.032349e+01,5.931585e+00,1.336911e+01
2.024712e+01,-8.103949e+00,6.794390e+00,1.242850e+01
2.052943e+01,-9.169371e+00,7.591906e+00,1.124132e+01
2.034807e+01,-9.208526e+00,7.326267e+00,1.184335e+01
