xloc,yloc,q,t0,c,m
4.715978e+00,4.242672e+00,3.489484e-01,1.105859e+01,1.777974e+00,4.797500e-01
4.362234e+00,4.058747e+00,4.224945e-01,1.207341e+01,1.243504e+00,4.737743e-01
6.368973e+00,4.222304e+00,-2.135174e-01,1.191123e+01,1.261195e+00,4.379071e-01
5.015463e+00,4.241543e+00,1.718309e-02,1.530966e+01,1.091768e+00,3.457462e-01
4.363101e+00,3.345950e+00,2.690312e-01,1.123708e+01,2.316381e+00,5.385915e-01
2.146316e+00,2.280910e+00,-1.573754e-01,1.505619e+01,9.197698e-01,4.955795e-01
4.100641e+00,4.295022e+00,3.290875e-01,1.120635e+01,1.421899e+00,4.637173e-01
3.587979e+00,4.289964e+00,5.417052e-01,1.072393e+01,1.936001e+00,4.576073e-01
4.199635e+00,4.334115e+00,2.675571e-01,1.158414e+01,2.273256e+00,5.012677e-01
2.973410e+00,6.026518e+00,1.019524e-01,1.018085e+01,1.802466e+00,5.228245e-01
3.698122e+00,5.006754e+00,4.955876e-01,1.717650e+01,7.954028e-01,4.540985e-01
4.453770e+00,3.974726e+00,4.325582e-01,1.282070e+01,2.212669e+00,5.028206e-01
5.432585e+00,3.247492e+00,4.059784e-01,1.091641e+01,8.495305e-01,6.464094e-01
2.662581e+00,4.897175e+00,3.825682e-01,1.338489e+01,2.463132e+00,5.320021e-01
4.298745e+00,4.627814e+00,4.116580e-01,1.027184e+01,5.333727e-01,5.143205e-01
1.708352e+00,4.729249e+00,-1.326824e-01,9.573627e+00,9.970723e-01,4.504441e-01
4.316816e+00,4.285967e+00,6.343979e-01,1.279409e+01,6.296358e-01,5.898923e-01
3.727734e+00,4.014205e+00,1.911817e-01,1.087824e+01,1.592732e+00,5.192635e-01
3.853974e+00,3.843780e+00,3.734388e-01,1.383177e+01,1.303787e+00,5.439465e-01
4.266509e+00,4.961002e+00,7.553091e-01,1.361679e+01,1.108784e+00,4.816488e-01
3.882438e+00,3.941997e+00,5.314743e-01,9.982529e+00,7.775897e-01,5.413162e-01
4.641612e+00,4.342977e+00,7.465522e-01,1.311458e+01,1.638966e+00,3.864719e-01
4.171742e+00,4.113755e+00,6.411932e-01,1.235517e+01,1.493316e+00,3.469709e-01
3.512516e+00,4.889971e+00,5.716377e-01,1.094581e+01,2.054128e+00,4.663314e-01
4.920607e+00,2.923978e+00,8.214317e-01,1.544676e+01,8.236428e-01,4.368530e-01
5.561388e+00,5.088054e+00,8.924326e-01,9.699098e+00,1.143897e+00,4.208280e-01
4.539068e+00,4.237478e+00,2.090326e-01,1.327241e+01,2.974845e+00,5.313241e-01
4.132522e+00,4.992938e+00,5.944087e-01,1.096408e+01,1.207194e+00,5.195913e-01
