xloc,yloc,q,t0,c,m
4.917970e+00,1.836530e+00,3.190436e-01,1.101292e+01,1.777974e+00,1.958671e+00
4.155266e+00,1.674349e+00,1.083068e-01,1.298484e+01,1.243504e+00,2.375858e+00
6.460566e+00,2.647497e+00,-9.351667e-01,1.238524e+01,1.261195e+00,6.463419e-01
5.452316e+00,2.031546e+00,-3.497276e-01,1.749838e+01,1.091768e+00,5.355522e-01
4.638293e+00,2.800345e+00,6.127582e-02,1.023098e+01,2.316381e+00,1.407235e+00
2.219763e+00,1.185004e-01,-8.118908e-01,1.543867e+01,9.197698e-01,7.950088e-01
4.598465e+00,2.556029e+00,7.484573e-01,1.415556e+01,1.421899e+00,1.589863e+00
4.059853e+00,1.984754e+00,2.035527e-01,1.227271e+01,1.936001e+00,8.139020e-01
4.972480e+00,2.056617e+00,-1.016695e-01,1.353923e+01,2.273256e+00,1.397487e+00
3.448845e+00,4.600169e+00,-4.035492e-01,1.047810e+01,1.802466e+00,9.058694e-01
3.448466e+00,3.618106e+00,-1.611074e-01,1.845274e+01,7.954028e-01,1.550986e+00
4.865480e+00,3.068173e+00,1.274579e-01,1.310484e+01,2.212669e+00,9.287712e-01
5.967683e+00,1.143494e+00,-2.729507e-01,1.283503e+01,8.495305e-01,1.284585e+00
2.821776e+00,3.857203e+00,6.638268e-02,1.487586e+01,2.463132e+00,7.150508e-01
4.515869e+00,2.756671e+00,-2.119478e-01,1.051435e+01,5.333727e-01,1.721042e+00
1.659015e+00,2.774587e+00,-6.399876e-01,1.059802e+01,9.970723e-01,7.318491e-01
4.729433e+00,1.837270e+00,2.392771e-01,1.328493e+01,6.296358e-01,1.489825e+00
4.259145e+00,2.214185e+00,-4.239236e-02,1.187961e+01,1.592732e+00,1.656542e+00
4.918740e+00,1.773292e+00,4.300164e-02,1.288239e+01,1.303787e+00,1.991094e+00
4.526713e+00,3.211555e+00,7.553091e-01,1.671860e+01,1.108784e+00,7.802910e-01
2.847571e+00,1.748643e+00,-6.558547e-01,1.087155e+01,7.775897e-01,1.327277e+00
4.051217e+00,3.551702e+00,-1.209903e-01,1.210190e+01,1.638966e+00,1.463386e+00
3.995316e+00,2.470649e+00,-3.288362e-01,1.329945e+01,1.493316e+00,1.176087e+00
2.985731e+00,4.336203e+00,9.056728e-01,9.857069e+00,2.054128e+00,7.550817e-01
5.463498e+00,5.791424e-01,8.214317e-01,1.779461e+01,8.236428e-01,6.722825e-01
6.227284e+00,3.104811e+00,8.924326e-01,1.060691e+01,1.143897e+00,5.697670e-01
4.582492e+00,3.488878e+00,-3.228994e-03,1.228474e+01,2.974845e+00,1.076605e+00
4.383450e+00,2.468239e+00,2.460353e-01,1.528584e+01,1.207194e+00,1.929583e+00
4.028986e+00,2.485997e+00,-1.443929e-01,1.539440e+01,1.665550e+00,1.267615e+00
4.878348e+00,2.185757e+00,6.276012e-01,1.373184e+01,1.831172e+00,2.369586e+00
6.639794e+00,1.316693e+00,-1.255396e-01,1.916634e+01,2.382297e+00,6.213279e-01
4.132944e+00,2.811965e+00,-8.895191e-02,1.427541e+01,1.030520e+00,1.853708e+00
3.242303e+00,1.120426e+00,-1.063202e+00,1.117170e+01,5.891756e-01,1.203143e+00
4.022276e+00,2.461059e+00,-4.568371e-01,1.620614e+01,1.522130e+00,1.015699e+00
5.384051e+00,2.199171e+00,-1.873299e-01,6.692512e+00,7.499161e-01,1.114628e+00
