xloc,yloc,q,t0,c,m
2.396578e+00,3.891654e+00,-2.239871e-01,1.191824e+01,1.777974e+00,6.354875e-01
2.246286e+00,3.686661e+00,1.338745e-02,1.240412e+01,1.243504e+00,6.701795e-01
3.914133e+00,4.094139e+00,-7.663915e-01,1.229070e+01,1.261195e+00,6.092565e-01
2.567902e+00,4.474992e+00,-3.009539e-01,1.417574e+01,1.091768e+00,5.212474e-01
1.890587e+00,3.473019e+00,-7.054579e-02,1.091096e+01,2.316381e+00,6.557177e-01
3.576202e-01,2.400628e+00,-4.213876e-01,1.445049e+01,9.197698e-01,6.204903e-01
1.689221e+00,4.406276e+00,-8.152608e-02,1.185516e+01,1.421899e+00,6.107405e-01
1.366440e+00,4.097384e+00,9.080101e-02,1.015847e+01,1.936001e+00,5.957461e-01
1.858666e+00,4.128642e+00,-1.065974e-01,1.194100e+01,2.273256e+00,6.343774e-01
1.064976e+00,5.635949e+00,-6.849838e-02,1.106660e+01,1.802466e+00,6.567997e-01
1.059323e+00,4.922712e+00,-6.196662e-02,1.718369e+01,7.954028e-01,5.964951e-01
1.893448e+00,3.884400e+00,4.678450e-02,1.222313e+01,2.212669e+00,6.648117e-01
3.247636e+00,3.042183e+00,-4.376101e-02,1.176369e+01,8.495305e-01,7.419269e-01
1.060106e+00,4.438113e+00,5.296073e-02,1.249865e+01,2.463132e+00,6.399915e-01
1.640708e+00,4.550845e+00,-1.003960e-01,1.081034e+01,5.333727e-01,6.340946e-01
1.708352e+00,4.804188e+00,-4.679328e-01,8.784036e+00,9.970723e-01,6.230570e-01
1.720767e+00,4.335665e+00,1.031749e-01,1.172093e+01,6.296358e-01,7.331649e-01
1.412291e+00,3.985014e+00,-1.919367e-01,1.126328e+01,1.592732e+00,6.523165e-01
1.476301e+00,4.026909e+00,-2.210047e-02,1.256109e+01,1.303787e+00,6.880042e-01
2.035357e+00,4.558846e+00,3.622987e-01,1.355981e+01,1.108784e+00,6.200529e-01
1.108254e+00,4.092589e+00,-3.806473e-03,1.152795e+01,7.775897e-01,6.451361e-01
1.707308e+00,4.151278e+00,1.861239e-01,1.341752e+01,1.638966e+00,5.897234e-01
2.112481e+00,3.654694e+00,1.484497e-01,1.466040e+01,1.493316e+00,5.774003e-01
1.393406e+00,4.583158e+00,1.076692e-01,1.113926e+01,2.054128e+00,6.689995e-01
2.477601e+00,2.915881e+00,4.689399e-01,1.518633e+01,8.236428e-01,5.696794e-01
2.767374e+00,5.091064e+00,4.235872e-01,1.013774e+01,1.143897e+00,5.743171e-01
1.617374e+00,4.202637e+00,-1.547079e-01,1.320310e+01,2.974845e+00,6.175106e-01
1.557372e+00,4.763321e+00,4.518543e-02,1.136264e+01,1.207194e+00,6.742487e-01
1.938451e+00,4.377189e+00,3.339037e-02,1.420687e+01,1.665550e+00,6.099976e-01
1.608538e+00,4.300063e+00,-1.213219e-01,1.247666e+01,1.831172e+00,6.782132e-01
2.436844e+00,3.301302e+00,3.585942e-02,1.657432e+01,2.382297e+00,5.696480e-01
2.549363e+00,3.950674e+00,-1.608975e-01,1.417495e+01,1.030520e+00,6.639096e-01
1.394200e+00,2.895467e+00,-7.424152e-01,1.139494e+01,5.891756e-01,7.527025e-01
1.251003e+00,4.571944e+00,-3.587105e-02,1.576319e+01,1.522130e+00,5.788679e-01
2.622420e+00,3.760458e+00,9.280512e-02,8.806925e+00,7.499161e-01,7.703511e-01
1.643530e+00,3.592358e+00,1.103178e-01,1.100926e+01,6.936198e-01,6.105098e-01
2.063770e+00,4.135903e+00,2.225258e-01,1.191497e+01,1.976759e+00,6.812850e-01
1.863297e+00,4.087542e+00,9.089221e-02,1.173117e+01,6.804255e-01,6.217573e-01
1.723164e+00,4.267467e+00,1.758453e-02,1.228360e+01,1.546349e+00,6.273379e-01
1.649146e+00,4.206824e+00,2.674051e-01,1.033929e+01,1.854342e+00,5.273390e-01
2.105084e+00,4.304831e+00,2.581547e-02,1.167031e+01,2.154356e+00,6.085076e-01
1.818089e+00,3.785509e+00,1.218375e-01,1.250669e+01,8.868597e-01,6.839153e-01
1.560770e+00,4.148173e+00,-8.366969e-02,1.196889e+01,1.392686e+00,6.141674e-01
1.319115e+00,4.418733e+00,-1.330801e-01,1.239185e+01,1.044078e+00,6.217065e-01
1.667225e+00,4.420910e+00,4.378379e-02,1.260779e+01,2.115135e+00,6.729334e-01
1.535705e+00,3.671018e+00,1.522358e-02,1.092830e+01,1.748230e+00,6.113217e-01
1.757955e+00,3.789580e+00,5.858253e-02,1.273372e+01,1.341385e+00,6.457517e-01
1.997548e+00,3.776943e+00,2.749852e-01,9.983461e+00,2.418624e+00,6.852559e-01
2.412007e+00,3.714021e+00,7.148183e-02,1.253940e+01,2.304513e+00,6.357911e-01
1.448621e+00,3.971572e+00,4.144170e-02,1.363771e+01,1.876579e+00,6.705464e-01
2.033116e+00,5.111763e+00,1.549278e-01,1.134887e+01,9.406475e-01,6.920665e-01
1.572464e+00,3.966311e+00,4.079188e-01,1.528316e+01,6.182122e-01,7.532543e-01
1.828535e+00,4.017056e+00,2.176781e-03,1.275450e+01,2.238712e+00,6.042774e-01
1.360830e+00,4.025377e+00,-7.401859e-02,1.473078e+01,1.610558e+00,5.977377e-01
1.648039e+00,4.148323e+00,-2.752966e-01,1.159007e+01,1.956580e+00,6.027801e-01
1.621110e+00,3.906938e+00,-1.966379e-01,1.307441e+01,2.023493e+00,6.156137e-01
2.176520e+00,3.874598e+00,-6.106756e-02,1.004939e+01,2.062717e+00,7.311352e-01
5.786096e-01,6.405758e+00,2.006675e-01,1.962352e+01,1.712556e+00,5.953011e-01
2.073240e+00,3.923820e+00,1.370736e-01,1.198088e+01,1.452170e+00,6.519406e-01
2.015458e+00,3.929915e+00,-1.009977e-01,1.051893e+01,1.181357e+00,5.814999e-01
2.015481e+00,3.861258e+00,7.107600e-02,1.356878e+01,2.184153e+00,6.039668e-01
1.139252e+00,4.334604e+00,3.507742e-02,1.392498e+01,2.348103e+00,6.484475e-01
1.333142e+00,4.278718e+00,1.461899e-01,1.289198e+01,1.350222e+00,6.377444e-01
1.662710e+00,3.931615e+00,-2.680838e-02,1.442066e+01,2.483682e+00,5.717465e-01
