xloc,yloc,q,t0,c,m
2.639589e+00,6.465326e+00,-3.952186e-01,1.080644e+01,1.777974e+00,5.678067e-01
2.713199e+00,6.460728e+00,-3.308356e-01,1.106126e+01,1.243504e+00,5.900584e-01
4.437512e+00,6.795412e+00,-9.458093e-01,8.340589e+00,1.261195e+00,4.900554e-01
3.214026e+00,7.156352e+00,-3.888084e-01,1.133054e+01,1.091768e+00,4.961300e-01
2.822234e+00,6.576193e+00,-6.266069e-01,9.501856e+00,2.316381e+00,5.230593e-01
7.310016e-01,5.672081e+00,-5.050569e-01,1.389216e+01,9.197698e-01,5.206720e-01
2.769652e+00,6.268685e+00,-2.954271e-01,1.142481e+01,1.421899e+00,5.458548e-01
2.520672e+00,5.967601e+00,-4.062042e-01,1.070904e+01,1.936001e+00,5.450959e-01
2.784046e+00,6.747789e+00,-4.314494e-01,1.109677e+01,2.273256e+00,5.496412e-01
2.813655e+00,6.294874e+00,-3.631871e-01,1.095396e+01,1.802466e+00,5.517579e-01
2.143746e+00,7.142022e+00,-1.880642e-01,1.412711e+01,7.954028e-01,5.071788e-01
2.959304e+00,6.539955e+00,-2.783912e-01,9.851490e+00,2.212669e+00,5.224000e-01
3.698384e+00,5.963506e+00,-4.839996e-01,1.147918e+01,8.495305e-01,5.717625e-01
2.525525e+00,6.436172e+00,-3.753345e-01,1.150298e+01,2.463132e+00,5.548450e-01
2.657224e+00,6.854132e+00,-4.583820e-01,9.723653e+00,5.333727e-01,5.677817e-01
2.543007e+00,7.089234e+00,-5.231012e-01,7.099889e+00,9.970723e-01,5.662299e-01
2.498845e+00,6.860322e+00,-3.648343e-01,1.116286e+01,6.296358e-01,5.371931e-01
2.336566e+00,5.973070e+00,-5.143067e-01,1.164908e+01,1.592732e+00,5.745709e-01
2.922144e+00,5.854448e+00,-4.075501e-01,1.021696e+01,1.303787e+00,5.739016e-01
2.975047e+00,7.033043e+00,-1.742479e-01,1.021184e+01,1.108784e+00,5.708525e-01
2.180300e+00,6.662659e+00,-4.366800e-01,1.056882e+01,7.775897e-01,5.298500e-01
2.796279e+00,6.378186e+00,-4.097393e-01,1.093585e+01,1.638966e+00,5.216564e-01
2.819102e+00,5.917491e+00,-2.633507e-01,1.092308e+01,1.493316e+00,5.521902e-01
3.344064e+00,6.256363e+00,-2.979601e-01,9.080500e+00,2.054128e+00,5.423210e-01
2.427941e+00,6.282688e+00,-1.046517e-01,1.242061e+01,8.236428e-01,5.103010e-01
3.167504e+00,7.123792e+00,-5.799962e-02,1.019813e+01,1.143897e+00,5.156503e-01
2.741602e+00,6.514841e+00,-3.445292e-01,1.030450e+01,2.974845e+00,5.484392e-01
2.465348e+00,7.263618e+00,-4.569701e-01,1.121837e+01,1.207194e+00,5.613076e-01
2.700631e+00,6.184855e+00,-3.612834e-01,1.141145e+01,1.665550e+00,5.447447e-01
2.866055e+00,6.386240e+00,-3.175558e-01,1.017069e+01,1.831172e+00,5.589621e-01
2.748566e+00,6.086467e+00,-3.223165e-01,1.111138e+01,2.382297e+00,5.456845e-01
3.320532e+00,6.549800e+00,-3.160184e-01,1.337586e+01,1.030520e+00,5.543135e-01
2.199109e+00,6.057566e+00,-9.732705e-01,9.438337e+00,5.891756e-01,5.645254e-01
2.248792e+00,6.604316e+00,-3.715323e-01,1.117368e+01,1.522130e+00,5.514287e-01
3.153832e+00,6.307605e+00,-3.038684e-01,9.071902e+00,7.499161e-01,5.518920e-01
2.799099e+00,6.347835e+00,-2.330682e-01,9.908928e+00,6.936198e-01,4.931182e-01
3.147903e+00,6.280414e+00,-2.989845e-01,1.091434e+01,1.976759e+00,5.507290e-01
2.902363e+00,6.909879e+00,-2.429842e-01,1.086366e+01,6.804255e-01,5.716730e-01
2.545622e+00,6.899382e+00,-3.128690e-01,1.123372e+01,1.546349e+00,5.260238e-01
2.826106e+00,6.253634e+00,-4.061229e-01,1.081354e+01,1.854342e+00,5.429344e-01
