xloc,yloc,q,t0,c,m
2.729712e+00,5.542065e+00,-3.065582e-01,1.184943e+01,1.777974e+00,5.820881e-01
2.697537e+00,5.578298e+00,-2.683747e-01,1.173678e+01,1.243504e+00,6.141813e-01
4.215811e+00,5.812631e+00,-8.393461e-01,9.777745e+00,1.261195e+00,5.508630e-01
2.994970e+00,6.020459e+00,-3.208086e-01,1.263227e+01,1.091768e+00,5.447381e-01
2.532458e+00,5.809051e+00,-5.268099e-01,1.093299e+01,2.316381e+00,5.821614e-01
8.106913e-01,4.847255e+00,-2.795844e-01,1.528491e+01,9.197698e-01,5.818861e-01
2.629368e+00,5.287618e+00,-2.226184e-01,1.252908e+01,1.421899e+00,5.901546e-01
2.518543e+00,5.220156e+00,-2.817595e-01,1.168449e+01,1.936001e+00,5.842612e-01
2.669777e+00,5.934820e+00,-2.948059e-01,1.239499e+01,2.273256e+00,5.982818e-01
2.553452e+00,5.215647e+00,-2.967811e-01,1.238453e+01,1.802466e+00,6.004253e-01
1.846830e+00,5.889100e+00,-1.770728e-01,1.560404e+01,7.954028e-01,5.488290e-01
2.694498e+00,5.435039e+00,-2.873017e-01,1.107124e+01,2.212669e+00,5.799303e-01
3.512533e+00,4.930108e+00,-4.131981e-01,1.281883e+01,8.495305e-01,6.133335e-01
2.177931e+00,5.569195e+00,-3.169236e-01,1.285250e+01,2.463132e+00,5.987350e-01
2.467168e+00,5.727186e+00,-3.656398e-01,1.123674e+01,5.333727e-01,6.161755e-01
2.427427e+00,6.006248e+00,-4.276141e-01,8.328698e+00,9.970723e-01,6.097570e-01
2.300204e+00,5.787433e+00,-2.933337e-01,1.242071e+01,6.296358e-01,5.842435e-01
2.184250e+00,5.004522e+00,-4.033689e-01,1.309839e+01,1.592732e+00,6.133735e-01
2.859297e+00,4.892943e+00,-2.995510e-01,1.155230e+01,1.303787e+00,6.152555e-01
2.759829e+00,5.918005e+00,-2.074753e-01,1.129704e+01,1.108784e+00,6.023939e-01
1.961943e+00,5.505096e+00,-3.947681e-01,1.194477e+01,7.775897e-01,5.735663e-01
2.568841e+00,5.391746e+00,-3.728039e-01,1.207616e+01,1.638966e+00,5.718050e-01
2.701053e+00,5.057669e+00,-2.321194e-01,1.163805e+01,1.493316e+00,5.926850e-01
3.064392e+00,5.290644e+00,-2.136171e-01,1.072519e+01,2.054128e+00,5.888512e-01
2.175137e+00,5.240356e+00,-1.075451e-01,1.325904e+01,8.236428e-01,5.399081e-01
2.943971e+00,5.964280e+00,-5.743976e-02,1.150486e+01,1.143897e+00,5.655779e-01
2.385430e+00,5.536468e+00,-3.834351e-01,1.182531e+01,2.974845e+00,5.892036e-01
2.515464e+00,6.256298e+00,-3.322523e-01,1.231909e+01,1.207194e+00,5.880484e-01
2.609894e+00,5.072965e+00,-2.726467e-01,1.267672e+01,1.665550e+00,5.895351e-01
2.643161e+00,5.400311e+00,-2.512476e-01,1.164544e+01,1.831172e+00,6.107515e-01
2.430051e+00,5.094880e+00,-2.740455e-01,1.259286e+01,2.382297e+00,5.945031e-01
3.048940e+00,5.442956e+00,-3.025841e-01,1.444091e+01,1.030520e+00,5.888796e-01
2.143327e+00,5.037466e+00,-8.923696e-01,1.060119e+01,5.891756e-01,5.966820e-01
2.157663e+00,5.644745e+00,-2.922855e-01,1.210536e+01,1.522130e+00,5.852646e-01
2.917035e+00,5.275774e+00,-2.469016e-01,1.049996e+01,7.499161e-01,5.930703e-01
2.537420e+00,5.242176e+00,-2.015158e-01,1.083376e+01,6.936198e-01,5.421616e-01
3.003288e+00,5.332781e+00,-2.363402e-01,1.209067e+01,1.976759e+00,5.894910e-01
2.810045e+00,5.940138e+00,-1.779353e-01,1.171636e+01,6.804255e-01,6.078591e-01
2.396220e+00,5.818493e+00,-2.541540e-01,1.240305e+01,1.546349e+00,5.659931e-01
2.669880e+00,5.330677e+00,-3.575685e-01,1.171080e+01,1.854342e+00,5.876076e-01
2.747839e+00,5.374584e+00,-2.751373e-01,1.244538e+01,2.154356e+00,5.883490e-01
2.627400e+00,4.912558e+00,-2.771419e-01,1.244605e+01,8.868597e-01,6.183625e-01
2.866733e+00,5.018887e+00,-3.225121e-01,1.155052e+01,1.392686e+00,5.876541e-01
2.837743e+00,4.800568e+00,-3.852298e-01,1.206761e+01,1.044078e+00,5.810833e-01
2.681787e+00,5.726800e+00,-2.542783e-01,1.194934e+01,2.115135e+00,6.018395e-01
2.524477e+00,5.271269e+00,-2.655635e-01,1.200146e+01,1.748230e+00,5.846163e-01
2.647923e+00,5.286524e+00,-2.289545e-01,1.175950e+01,1.341385e+00,5.924165e-01
2.439987e+00,5.218268e+00,-3.284711e-01,1.226938e+01,2.418624e+00,5.784615e-01
2.944165e+00,5.175982e+00,-1.690481e-01,1.215730e+01,2.304513e+00,5.861300e-01
2.648856e+00,5.243316e+00,-3.575501e-01,1.205466e+01,1.876579e+00,5.906057e-01
2.937004e+00,5.978804e+00,-1.824247e-01,1.326730e+01,9.406475e-01,6.332545e-01
2.540362e+00,4.978113e+00,-1.298964e-01,1.343123e+01,6.182122e-01,6.606115e-01
2.625528e+00,5.598208e+00,-2.279649e-01,1.258282e+01,2.238712e+00,5.907213e-01
2.034560e+00,5.620895e+00,-4.354889e-01,1.207063e+01,1.610558e+00,6.037739e-01
2.419290e+00,5.964108e+00,-3.509040e-01,1.232803e+01,1.956580e+00,5.861377e-01
2.622862e+00,5.481364e+00,-3.121849e-01,1.187177e+01,2.023493e+00,5.758455e-01
2.448750e+00,4.994923e+00,-3.744303e-01,1.195085e+01,2.062717e+00,5.779911e-01
2.219679e+00,6.196379e+00,-2.326952e-01,1.255398e+01,1.712556e+00,5.947598e-01
2.400869e+00,5.894531e+00,-3.997357e-01,1.204448e+01,1.452170e+00,5.975873e-01
2.784399e+00,5.443407e+00,-2.424401e-01,1.105011e+01,1.181357e+00,5.583701e-01
2.796423e+00,5.320497e+00,-2.637352e-01,1.203286e+01,2.184153e+00,5.895274e-01
2.666716e+00,5.433318e+00,-4.493183e-01,1.205653e+01,2.348103e+00,5.999625e-01
2.483068e+00,5.073830e+00,-2.480093e-01,1.214584e+01,1.350222e+00,6.031147e-01
2.678483e+00,5.778375e+00,-2.395022e-01,1.198711e+01,2.483682e+00,5.973800e-01
