xloc,yloc,q,t0,c,m
5.333333e+00,3.571429e+00,8.089200e-01,1.545875e+01,1.777974e+00,1.958671e+00
4.000000e+00,6.428571e+00,-1.863695e+00,1.154438e+01,1.243504e+00,2.375858e+00
6.000000e+00,5.000000e+00,-1.339036e+00,8.270579e+00,1.261195e+00,6.463419e-01
5.333333e+00,4.285714e+00,-7.984393e-01,1.749838e+01,1.091768e+00,5.355522e-01
3.333333e+00,5.000000e+00,-7.525456e-01,1.222098e+00,2.316381e+00,1.407235e+00
2.000000e+00,2.142857e+00,-1.455249e+00,1.072346e+01,9.197698e-01,7.950088e-01
4.666667e+00,6.428571e+00,1.243653e-01,1.677730e+01,1.421899e+00,1.589863e+00
3.333333e+00,2.857143e+00,5.235110e-01,6.754802e+00,1.936001e+00,8.139020e-01
6.000000e+00,6.428571e+00,4.347349e-01,6.458863e+00,2.273256e+00,1.397487e+00
3.333333e+00,5.714286e+00,-1.413517e+00,9.026750e+00,1.802466e+00,9.058694e-01
1.333333e+00,5.714286e+00,-1.558143e+00,1.845274e+01,7.954028e-01,1.550986e+00
5.333333e+00,6.428571e+00,-1.969370e-01,1.262278e+01,2.212669e+00,9.287712e-01
4.666667e+00,3.571429e+00,-1.746227e+00,9.242276e+00,8.495305e-01,1.284585e+00
1.333333e+00,6.428571e+00,-3.613524e-01,1.579748e+01,2.463132e+00,7.150508e-01
2.666667e+00,5.714286e+00,-1.494279e+00,1.316943e+01,5.333727e-01,1.721042e+00
6.666667e-01,5.000000e+00,-1.097017e+00,3.440247e+00,9.970723e-01,7.318491e-01
6.000000e+00,3.571429e+00,-5.224576e-02,1.410832e+01,6.296358e-01,1.489825e+00
5.333333e+00,2.142857e+00,3.727016e-02,1.460905e+01,1.592732e+00,1.656542e+00
6.000000e+00,4.285714e+00,-8.498204e-01,1.759055e+01,1.303787e+00,1.991094e+00
3.333333e+00,7.142857e+00,2.563031e-01,1.300267e+01,1.108784e+00,7.802910e-01
1.333333e+00,3.571429e+00,-1.793015e+00,2.934428e+00,7.775897e-01,1.327277e+00
4.000000e+00,7.142857e+00,-6.391681e-01,5.632747e+00,1.638966e+00,1.463386e+00
2.666667e+00,2.857143e+00,6.342460e-01,4.637550e+00,1.493316e+00,1.176087e+00
2.000000e+00,6.428571e+00,9.056728e-01,3.886215e+00,2.054128e+00,2.263426e+00
4.666667e+00,2.142857e+00,4.543969e-01,1.060502e+01,8.236428e-01,6.722825e-01
6.000000e+00,5.714286e+00,6.844751e-01,2.358003e+00,1.143897e+00,5.697670e-01
3.333333e+00,6.428571e+00,-9.774160e-01,8.000376e+00,5.089679e-01,1.076605e+00
5.333333e+00,5.714286e+00,-3.201742e-01,1.917105e+01,1.207194e+00,1.929583e+00
1.333333e+00,2.857143e+00,-2.616957e-01,5.522867e+00,1.665550e+00,1.267615e+00
2.666667e+00,2.142857e+00,-1.227248e+00,5.104931e+00,1.831172e+00,2.369586e+00
6.000000e+00,2.857143e+00,-9.410027e-01,1.781409e+01,2.382297e+00,6.213279e-01
1.333333e+00,5.000000e+00,9.970662e-01,5.951548e+00,1.030520e+00,1.853708e+00
2.666667e+00,3.571429e+00,-1.948230e+00,4.119775e+00,5.891756e-01,1.203143e+00
2.666667e+00,5.000000e+00,7.584164e-01,8.545046e+00,1.522130e+00,1.015699e+00
4.000000e+00,5.000000e+00,-1.155529e+00,1.412861e+00,7.499161e-01,1.114628e+00
3.333333e+00,4.285714e+00,2.310950e-01,1.511888e+01,6.936198e-01,1.644567e+00
2.000000e+00,5.714286e+00,3.587155e-01,2.196242e-01,1.976759e+00,1.130885e+00
4.000000e+00,2.142857e+00,5.591934e-01,1.704620e+01,6.804255e-01,1.517979e+00
2.000000e+00,3.571429e+00,9.442263e-01,1.615404e+01,1.546349e+00,2.198554e+00
4.000000e+00,4.285714e+00,-8.129860e-02,4.793744e+00,1.854342e+00,5.257493e-01
6.666667e-01,4.285714e+00,-1.263777e+00,9.485920e+00,2.154356e+00,2.290416e+00
4.666667e+00,5.000000e+00,6.102455e-01,9.747654e+00,8.868597e-01,1.824766e+00
5.333333e+00,2.857143e+00,-6.553636e-01,1.201374e+01,1.392686e+00,2.468271e+00
4.000000e+00,2.857143e+00,-9.066288e-01,1.184323e+01,1.044078e+00,1.706593e+00
2.000000e+00,4.285714e+00,-1.350667e+00,1.885246e+01,2.115135e+00,1.792480e+00
3.333333e+00,1.428571e+00,-1.990348e+00,1.640140e+01,1.748230e+00,1.598674e+00
