xloc,yloc,q,t0,c,m
2.006005e+00,5.548478e+00,1.691400e-01,1.426324e+01,1.777974e+00,6.420987e-01
1.924534e+00,5.513257e+00,2.733504e-01,1.490586e+01,1.243504e+00,6.678277e-01
3.652411e+00,5.848018e+00,-2.966058e-01,1.335550e+01,1.261195e+00,5.694242e-01
2.378927e+00,5.990288e+00,2.523174e-02,1.532238e+01,1.091768e+00,5.653863e-01
1.658813e+00,6.354173e+00,6.292667e-01,1.582203e+01,2.316381e+00,6.421472e-01
1.089075e-01,4.704215e+00,-1.856453e-02,1.685807e+01,9.197698e-01,5.969616e-01
1.875534e+00,5.269037e+00,4.758998e-01,1.473118e+01,1.421899e+00,6.167546e-01
1.241890e+00,5.220820e+00,2.245401e-01,1.477521e+01,1.936001e+00,5.941814e-01
1.533731e+00,5.854889e+00,2.790066e-01,1.495316e+01,2.273256e+00,6.450291e-01
1.184171e+00,6.160082e+00,1.234557e-01,1.409293e+01,1.802466e+00,6.309977e-01
9.091946e-01,6.498064e+00,5.697873e-01,1.905677e+01,7.954028e-01,5.756972e-01
1.620845e+00,6.126724e+00,3.287881e-01,1.499054e+01,2.212669e+00,6.431264e-01
3.071600e+00,4.656891e+00,2.547220e-01,1.463713e+01,8.495305e-01,7.074661e-01
1.355386e+00,5.470490e+00,2.945759e-01,1.543931e+01,2.463132e+00,6.150285e-01
1.456184e+00,5.915674e+00,1.451677e-01,1.355315e+01,5.333727e-01,6.326604e-01
1.865043e+00,6.257871e+00,2.593827e-03,1.061820e+01,9.970723e-01,6.449712e-01
1.385739e+00,5.880981e+00,2.680534e-01,1.569945e+01,6.296358e-01,6.204739e-01
1.309882e+00,5.329514e+00,2.922237e-01,1.612485e+01,1.592732e+00,6.719418e-01
1.729953e+00,5.061609e+00,3.894007e-01,1.520720e+01,1.303787e+00,7.024181e-01
2.054572e+00,6.104884e+00,7.138023e-01,1.484105e+01,1.108784e+00,6.553936e-01
9.334867e-01,5.941736e+00,3.293843e-01,1.513484e+01,7.775897e-01,6.321477e-01
1.680088e+00,5.416632e+00,4.056796e-01,1.611502e+01,1.638966e+00,5.932178e-01
1.792734e+00,5.112097e+00,2.782111e-01,1.449653e+01,1.493316e+00,5.978306e-01
1.576725e+00,5.927897e+00,3.382389e-01,1.512457e+01,2.054128e+00,6.899461e-01
1.884134e+00,4.996951e+00,7.935848e-01,1.710496e+01,8.236428e-01,5.858126e-01
2.838585e+00,5.881029e+00,6.881225e-01,1.270032e+01,1.143897e+00,5.924861e-01
1.881755e+00,5.427084e+00,4.041556e-01,1.464482e+01,2.974845e+00,6.271111e-01
1.452550e+00,6.213192e+00,3.650933e-01,1.424279e+01,1.207194e+00,6.667892e-01
1.878754e+00,5.390588e+00,3.312423e-01,1.526821e+01,1.665550e+00,6.368027e-01
1.710057e+00,6.022206e+00,3.547521e-01,1.447712e+01,1.831172e+00,6.073545e-01
2.114587e+00,5.225506e+00,5.466931e-01,1.490286e+01,2.382297e+00,6.387386e-01
2.312086e+00,5.546778e+00,2.948704e-01,1.743562e+01,1.030520e+00,6.575287e-01
1.405107e+00,4.809272e+00,-2.728573e-01,1.420552e+01,5.891756e-01,6.612935e-01
1.044592e+00,6.207696e+00,3.063233e-01,1.617677e+01,1.522130e+00,6.032833e-01
2.342266e+00,5.387305e+00,4.539948e-01,1.240214e+01,7.499161e-01,6.776081e-01
1.580728e+00,5.087588e+00,4.537704e-01,1.397343e+01,6.936198e-01,5.928480e-01
1.986792e+00,5.514945e+00,4.394844e-01,1.476044e+01,1.976759e+00,6.485555e-01
1.877244e+00,6.058547e+00,4.021230e-01,1.429877e+01,6.804255e-01,6.493940e-01
1.644444e+00,5.718642e+00,3.241062e-01,1.475689e+01,1.546349e+00,6.238360e-01
1.616131e+00,5.342722e+00,2.684123e-01,1.452192e+01,1.854342e+00,6.459321e-01
1.819069e+00,5.839414e+00,2.969320e-01,1.485014e+01,2.154356e+00,6.075925e-01
1.765874e+00,5.258919e+00,4.224995e-01,1.484869e+01,8.868597e-01,6.667061e-01
1.629736e+00,5.267383e+00,2.523326e-01,1.346685e+01,1.392686e+00,6.482833e-01
1.903395e+00,5.354611e+00,2.268485e-01,1.474422e+01,1.044078e+00,6.186415e-01
1.801878e+00,5.680129e+00,2.641162e-01,1.521840e+01,2.115135e+00,6.392999e-01
1.466546e+00,5.403469e+00,4.297082e-01,1.302167e+01,1.748230e+00,6.262655e-01
1.752037e+00,5.368273e+00,4.270909e-01,1.554917e+01,1.341385e+00,6.521099e-01
2.242037e+00,5.372228e+00,2.828587e-01,1.518308e+01,2.418624e+00,6.166371e-01
1.970886e+00,5.278317e+00,3.837246e-01,1.487727e+01,2.304513e+00,6.243511e-01
1.648181e+00,5.427287e+00,3.434251e-01,1.477687e+01,1.876579e+00,6.484857e-01
2.227748e+00,6.033688e+00,4.739698e-01,1.531534e+01,9.406475e-01,7.134298e-01
1.527345e+00,5.376361e+00,6.969188e-01,1.756918e+01,6.182122e-01,7.724284e-01
1.790911e+00,5.617299e+00,2.884213e-01,1.529127e+01,2.238712e+00,6.423141e-01
