xloc,yloc,q,t0,c,m
2.008296e+00,6.725766e+00,2.028716e-01,1.284282e+01,1.777974e+00,6.200224e-01
2.103297e+00,6.638377e+00,3.749088e-01,1.356194e+01,1.243504e+00,6.418239e-01
3.886957e+00,6.868629e+00,-2.233081e-01,1.098369e+01,1.261195e+00,5.616053e-01
2.354819e+00,7.404856e+00,1.244535e-01,1.382342e+01,1.091768e+00,5.600199e-01
1.754898e+00,7.581386e+00,7.078078e-01,1.410286e+01,2.316381e+00,6.108403e-01
3.337769e-01,5.776079e+00,1.309437e-01,1.566131e+01,9.197698e-01,5.717828e-01
2.105338e+00,6.588608e+00,5.001736e-01,1.372959e+01,1.421899e+00,6.066757e-01
1.632415e+00,6.299040e+00,3.359039e-01,1.360099e+01,1.936001e+00,5.870325e-01
1.990972e+00,6.904803e+00,3.441693e-01,1.296248e+01,2.273256e+00,6.196931e-01
1.688685e+00,6.827222e+00,3.175562e-01,1.384406e+01,1.802466e+00,6.135978e-01
1.316595e+00,7.569973e+00,5.472349e-01,1.743162e+01,7.954028e-01,5.604662e-01
2.282115e+00,6.825822e+00,4.810940e-01,1.257624e+01,2.212669e+00,5.797248e-01
3.299098e+00,5.950681e+00,3.175301e-01,1.350619e+01,8.495305e-01,6.426639e-01
1.645681e+00,6.597323e+00,4.214005e-01,1.348684e+01,2.463132e+00,6.170824e-01
1.874194e+00,7.047732e+00,2.638619e-01,1.246698e+01,5.333727e-01,6.263360e-01
2.087759e+00,7.294841e+00,1.252733e-01,9.350498e+00,9.970723e-01,6.178565e-01
1.891962e+00,7.062514e+00,3.266560e-01,1.368569e+01,6.296358e-01,5.892824e-01
1.608247e+00,6.426929e+00,3.481463e-01,1.528715e+01,1.592732e+00,6.425271e-01
2.109853e+00,6.192202e+00,4.455364e-01,1.350132e+01,1.303787e+00,6.455464e-01
2.197234e+00,7.159108e+00,6.454188e-01,1.295600e+01,1.108784e+00,6.284733e-01
1.280083e+00,7.030885e+00,3.887821e-01,1.361166e+01,7.775897e-01,5.844672e-01
1.921807e+00,6.689456e+00,4.713217e-01,1.461732e+01,1.638966e+00,5.887318e-01
2.051557e+00,6.123202e+00,3.597713e-01,1.320688e+01,1.493316e+00,6.099142e-01
2.065213e+00,6.935719e+00,3.195963e-01,1.324003e+01,2.054128e+00,5.950680e-01
1.801623e+00,6.522113e+00,8.538514e-01,1.555885e+01,8.236428e-01,5.846057e-01
3.002406e+00,7.092127e+00,7.860265e-01,1.231388e+01,1.143897e+00,5.956466e-01
2.041566e+00,6.716011e+00,4.322117e-01,1.441372e+01,2.974845e+00,6.266124e-01
1.707501e+00,7.425386e+00,4.009386e-01,1.394161e+01,1.207194e+00,6.451705e-01
2.100612e+00,6.549808e+00,4.223325e-01,1.380608e+01,1.665550e+00,6.106095e-01
2.177353e+00,6.881208e+00,4.286297e-01,1.318579e+01,1.831172e+00,6.051695e-01
2.208383e+00,6.203823e+00,5.333601e-01,1.368714e+01,2.382297e+00,6.188020e-01
2.610125e+00,6.725686e+00,4.236286e-01,1.636662e+01,1.030520e+00,6.097360e-01
1.514196e+00,6.251927e+00,-2.478076e-01,1.236367e+01,5.891756e-01,6.063126e-01
1.164359e+00,7.372130e+00,2.699601e-01,1.495339e+01,1.522130e+00,6.040173e-01
2.480714e+00,6.590772e+00,4.085314e-01,1.135380e+01,7.499161e-01,6.077329e-01
1.987298e+00,6.381632e+00,5.019334e-01,1.263859e+01,6.936198e-01,5.601832e-01
2.354796e+00,6.740443e+00,5.344887e-01,1.387528e+01,1.976759e+00,6.161348e-01
2.440131e+00,7.006030e+00,5.335820e-01,1.294349e+01,6.804255e-01,6.333135e-01
2.015435e+00,6.857173e+00,4.055933e-01,1.319775e+01,1.546349e+00,5.969282e-01
1.959733e+00,6.580213e+00,3.787373e-01,1.407882e+01,1.854342e+00,6.154432e-01
2.109618e+00,6.873192e+00,4.142802e-01,1.411307e+01,2.154356e+00,5.951643e-01
2.024791e+00,6.297603e+00,4.215989e-01,1.350432e+01,8.868597e-01,6.361180e-01
1.911992e+00,6.493836e+00,3.580083e-01,1.319561e+01,1.392686e+00,6.161746e-01
2.432126e+00,6.215194e+00,2.840212e-01,1.320280e+01,1.044078e+00,5.980463e-01
2.206825e+00,6.888171e+00,3.519552e-01,1.338932e+01,2.115135e+00,6.009990e-01
1.666012e+00,6.605789e+00,5.420328e-01,1.347734e+01,1.748230e+00,6.274708e-01
1.902082e+00,6.717810e+00,4.995550e-01,1.399149e+01,1.341385e+00,6.228188e-01
2.116742e+00,6.495292e+00,3.183373e-01,1.352641e+01,2.418624e+00,5.961787e-01
2.482364e+00,6.385506e+00,4.651130e-01,1.364766e+01,2.304513e+00,5.770417e-01
1.898972e+00,6.556085e+00,4.529587e-01,1.370327e+01,1.876579e+00,6.383185e-01
2.518532e+00,7.240253e+00,4.489060e-01,1.390971e+01,9.406475e-01,6.573306e-01
1.825020e+00,6.472082e+00,7.162225e-01,1.589793e+01,6.182122e-01,7.177042e-01
1.671182e+00,6.856719e+00,2.502090e-01,1.369720e+01,2.238712e+00,6.119881e-01
1.457585e+00,6.837419e+00,2.527205e-01,1.338605e+01,1.610558e+00,6.248830e-01
1.805766e+00,7.204836e+00,2.150725e-01,1.402893e+01,1.956580e+00,5.683244e-01
1.837966e+00,6.590022e+00,3.002526e-01,1.326075e+01,2.023493e+00,5.968268e-01
2.158006e+00,6.491940e+00,3.878874e-01,1.345864e+01,2.062717e+00,6.005956e-01
1.469803e+00,7.969165e+00,5.342779e-01,1.528076e+01,1.712556e+00,6.018382e-01
2.123275e+00,7.063067e+00,3.792983e-01,1.357272e+01,1.452170e+00,6.291284e-01
2.203151e+00,6.574386e+00,3.258737e-01,1.208755e+01,1.181357e+00,5.748509e-01
2.217074e+00,6.301086e+00,4.029584e-01,1.354078e+01,2.184153e+00,6.122399e-01
1.929117e+00,6.991193e+00,3.484403e-01,1.284561e+01,2.348103e+00,6.077446e-01
1.706203e+00,6.657392e+00,4.852135e-01,1.394278e+01,1.350222e+00,6.045713e-01
2.173771e+00,6.766173e+00,4.208930e-01,1.359407e+01,2.483682e+00,6.071004e-01
